,dysfunction,Maturity,Solutions,Impacts
53,L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,Niveau 1,Space Team (par Nextoo),"Le principe du jeu « Space Team » est simple: des joueurs ont, sur leur écran de smartphone, une interface avec des boutons, des potentiomètres… ainsi qu’un écran d’instruction. Lorsqu’une instruction apparait, ils doivent agir… le hic: les instructions ne sont pas forcément pour les interfaces des personnes les recevant…"
56,Vague de nouveaux arrivés,Niveau 1,Artistes et Spécifieurs (par Nextoo),"Montrer l’impacte de l’absence de communication orale sur la capacité à créer le bon produit pour une équipe agile. Un jeu créé par Alistair Cockburn, un des signataires du manifeste agile.

"
60,Le comportement d'un individu dérange l'équipe,Niveau 1,,
61,L'équipe ne s'adapte pas assez au changement,Niveau 1,,
64,L'équipe est bridée par le management,Niveau 1,Stringball (par Nextoo),Comment va se comporter l'équipe dans un contexte challengeant?
67,L'équipe n'a pas de feedback,Niveau 1,Marshmallow challenge (par Nextoo),Exercice permettant d’expliquer ce qu’est une démarche itérative et incrémentale avec la priorisation de valeur. Il est également possible d’aborder la partie estimation.
70,Les individus sont résignés,Niveau 1,,
74,Les membres de l'équipe ont des non-dits,Niveau 1,La crevasse (par Nextoo),"Montrer qu’à travers la communication, la confiance, l’astuce (intelligence collective) on arrive à atteindre des objectifs qui semblent inaccessibles."
77,Un des membres de l'équipe se met trop en avant sur son domaine de compétences,Niveau 1,T-shaped competence (par Nextoo),"Explorons ensemble la notion de T-Shaped Competence comme nous le propose la carte ""Agile Topic"" numéro 16 de Jimmy Janlén."
78,L'équipe prend trop de risques,Niveau 1,Marshmallow challenge (par Nextoo),Exercice permettant d’expliquer ce qu’est une démarche itérative et incrémentale avec la priorisation de valeur. Il est également possible d’aborder la partie estimation.
81,L'équipe a trop de leaders,Niveau 1,Space Team (par Nextoo),"Teambuilding, analyse du fonctionnement de l’équipe par l’animateur, icebreaker, cet atelier peut être utilisé dans plusieurs situations.

"
87,L'équipe est abandonnée,Niveau 1,The band (par Nextoo),Un anneau de tissu suffisamment élastique et résistant pour animer 24 personnes en même temps?
88,Majorité de membres individualistes,Niveau 1,La crevasse (par Nextoo),"Montrer qu’à travers la communication, la confiance, l’astuce (intelligence collective) on arrive à atteindre des objectifs qui semblent inaccessibles."
95,L'équipe gère trop de produits / services,Niveau 1,Marshmallow challenge (par Nextoo),Exercice permettant d’expliquer ce qu’est une démarche itérative et incrémentale avec la priorisation de valeur. Il est également possible d’aborder la partie estimation.
96,L'équipe n'a pas de leader,Niveau 1,Stringball (par Nextoo),Comment va se comporter l'équipe dans un contexte challengeant?
102,L'équipe dit non à tout,Niveau 1,,
103,L'équipe n'ose pas,Niveau 1,Marshmallow challenge (par Nextoo),Exercice permettant d’expliquer ce qu’est une démarche itérative et incrémentale avec la priorisation de valeur. Il est également possible d’aborder la partie estimation.
193,Le turnover est important,Niveau 1,The band (par Nextoo),Un anneau de tissu suffisamment élastique et résistant pour animer 24 personnes en même temps?
